Year,Billion USD
2013 Q1,3.75
2013 Q2,3.88
2013 Q3,3.89
2013 Q4,4.53
2014 Q1,4
2014 Q2,4.1
2014 Q3,2.15
2014 Q4,2.32
2015 Q1,2.06
2015 Q2,2.11
2015 Q3,2.1
2015 Q4,2.32
2016 Q1,2.14
2016 Q2,2.23
2016 Q3,2.22
2016 Q4,2.71
2017 Q1,2.3
2017 Q2,2.42
2017 Q3,2.5
2017 Q4,2.71
2018 Q1,2.58
2018 Q2,2.64
2018 Q3 ,2.65
2018 Q4,2.88
2019 Q1,2.41
2019 Q2,2.42
2019 Q3,2.08
2019 Q4,2.24
2020 Q1 ,2.37
2020 Q2,2.87
2020 Q3,2.61
2020 Q4 ,2.87
2021 Q1,2.64
2021 Q2,2.67
2021 Q3,2.5
2021 Q4 ,2.61
2022 Q1,2.48
2022 Q2,2.42
2022 Q3,2.38
2022 Q4,2.51
2023 Q1,2.51
2023 Q2,2.54
2023 Q3,2.5
2023 Q4,2.56